id,title,budget,revenue,roi,vote_average,popularity,all_genres
1448560,Wildcat,50000.0,0,0.0,6.08,129.7872,Action|Thriller|Crime
1180831,Troll 2,11200000.0,0,0.0,6.783,234.9032,Action|Fantasy|Thriller
1137743,Moon Students,200000.0,0,0.0,2.7,13.3751,Drama
1076897,Kaamelott: The Second Chapter (Part I),20000000.0,0,0.0,6.347,10.3937,Adventure|Fantasy|Comedy|History
1058537,Angels Fallen: Warriors of Peace,3200000.0,0,0.0,6.092,9.6121,Horror|Action|Fantasy|Adventure
1026202,Giantess Battle Attack!,100000.0,0,0.0,5.8,7.6043,Science Fiction|Comedy|Horror
950396,The Gorge,70000000.0,0,0.0,7.7,17.8803,Romance|Science Fiction|Thriller
941109,Play Dirty,2500000.0,0,0.0,6.603,16.5836,Crime
2197,Sounds of Sand,5000000.0,0,0.0,6.1,9.7639,Drama|War
912425,They Don't Come in Peace,2500.0,0,0.0,0.0,6.8935,Thriller|Drama|Science Fiction
8274,American Pie Presents: Band Camp,7000000.0,0,0.0,5.5,9.3496,Comedy
142061,"Batman: The Dark Knight Returns, Part 2",3500000.0,0,0.0,7.921,8.2503,Science Fiction|Action|Animation|Mystery
785209,Playground,1183025.0,0,0.0,7.0,10.4736,Drama
766507,Prey,65000000.0,0,0.0,7.675,14.478,Thriller|Action|Science Fiction
749170,Heads of State,100.0,0,0.0,6.863,14.5821,Action|Thriller|Comedy
656908,Ramayana: Part One,230000000.0,0,0.0,0.0,11.7279,Action|Drama|Fantasy
13186,Wrong Turn 2: Dead End,4000000.0,0,0.0,6.14,12.7398,Horror|Thriller
24619,Blind Horizon,5000000.0,0,0.0,5.644,12.5591,Thriller
475210,How It Ends,20000000.0,0,0.0,5.275,15.1008,Science Fiction|Thriller|Mystery|Action|Adventure
63352,Drive-By Truckers: The Secret to a Happy Ending,150000.0,0,0.0,0.0,6.4716,Documentary|Music
