director_name,avg_revenue,avg_roi,avg_rating,n
Joe Russo,2002300185.0,6.441720701620475,7.973333333333334,3
James Cameron,1343494105.3333333,5.913049246351068,6.8308333333333335,6
Jon Watts,1311314010.3333333,7.2377702699999995,7.5456666666666665,3
David Yates,1041997255.5,6.134975399666667,7.7945,4
Joss Whedon,987696224.3333334,4.626933686834796,7.504333333333332,3
Peter Jackson,975344683.1666666,7.456646155296906,7.932333333333333,6
Gore Verbinski,894294060.0,4.405062566111112,7.496666666666667,3
Sam Raimi,890822576.0,4.225426248720286,7.001,3
Joseph Kosinski,843390941.3333334,4.564870879372549,7.487333333333333,3
Christopher Nolan,832909290.0,5.256305418224884,8.140500000000001,6
Pete Docter,724138376.0,4.714032956024845,7.902333333333334,3
Todd Phillips,711677923.3333334,13.45362148641775,7.318666666666668,3
Byron Howard,626425369.6666666,3.6191538275213673,7.662,3
James Gunn,623676985.25,2.838446545131381,7.60675,4
Chris Renaud,613681671.2,7.563458417078948,6.7858,5
Chris Columbus,575988457.2,11.311695300140352,7.1616,5
Zack Snyder,560827237.0,2.7391532593703705,6.483333333333333,3
Marc Webb,557524149.6666666,2.6106154338544356,5.8500000000000005,3
Jon M. Chu,513748634.0,3.611045118888889,6.830666666666667,3
Francis Lawrence,487613013.6666667,4.27649458975,6.881333333333333,3
John Lasseter,487259936.0,6.749983606111111,7.352,4
Andy Muschietti,482899785.0,9.114486431960655,6.899,3
Jon Favreau,479202517.6666667,4.813369175476191,7.054333333333333,3
Denis Villeneuve,460552548.0,2.6535821043274854,7.832666666666667,3
Shane Black,458706446.3333333,2.634076152272727,6.3886666666666665,3
Steven Spielberg,449075776.14285713,5.979620937007575,7.538428571428571,7
Ridley Scott,444280554.5,3.3833399821337165,7.3915,4
Louis Leterrier,440401548.3333333,2.8424895435294117,6.857333333333333,3
Robert Zemeckis,440368931.3333333,5.290822349393939,7.361,3
Tim Burton,434622778.75,3.9088006166666664,7.13375,4
