id,title,original_title,release_date,release_year,release_month,release_season,movie_age,budget,revenue,roi,popularity,vote_average,vote_count,all_genres,main_genre,director_name,top_3_cast
12,Finding Nemo,Finding Nemo,2003-05-30,2003,5,Spring,22,94000000.0,940335536,10.003569531914893,14.0107,7.817,20084,Animation|Family,Animation,Andrew Stanton,Albert Brooks|Ellen DeGeneres|Alexander Gould
13,Forrest Gump,Forrest Gump,1994-06-23,1994,6,Summer,31,55000000.0,677387716,12.316140290909091,21.639,8.462,28935,Comedy|Drama|Romance,Comedy,Robert Zemeckis,Tom Hanks|Robin Wright|Gary Sinise
18,The Fifth Element,Le Cinquième Élément,1997-05-02,1997,5,Spring,28,90000000.0,263920180,2.9324464444444445,10.9259,7.562,11310,Science Fiction|Action|Adventure,Science Fiction,Luc Besson,Bruce Willis|Milla Jovovich|Gary Oldman
22,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,7,Summer,22,140000000.0,655011224,4.6786516,17.1884,7.817,21646,Adventure|Fantasy|Action,Adventure,Gore Verbinski,Johnny Depp|Geoffrey Rush|Orlando Bloom
24,Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003-10-10,2003,10,Fall,22,30000000.0,180906076,6.030202533333333,11.7815,7.969,18347,Action|Crime,Action,Quentin Tarantino,Uma Thurman|Lucy Liu|Vivica A. Fox
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2006,7,Summer,19,200000000.0,1066179747,5.330898735,18.5746,7.373,16737,Adventure|Fantasy|Action,Adventure,Gore Verbinski,Johnny Depp|Orlando Bloom|Keira Knightley
70,Million Dollar Baby,Million Dollar Baby,2004-12-05,2004,12,Winter,21,30000000.0,216763646,7.2254548666666665,12.5798,7.954,10079,Drama,Drama,Clint Eastwood,Clint Eastwood|Hilary Swank|Morgan Freeman
98,Gladiator,Gladiator,2000-05-04,2000,5,Spring,25,103000000.0,465516248,4.519575223300971,19.1252,8.221,20277,Action|Drama|Adventure,Action,Ridley Scott,Russell Crowe|Joaquin Phoenix|Connie Nielsen
101,Léon: The Professional,Léon,1994-09-14,1994,9,Fall,31,16000000.0,45284974,2.830310875,11.7403,8.299,15603,Crime|Drama|Action,Crime,Luc Besson,Jean Reno|Natalie Portman|Gary Oldman
118,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,2005-07-13,2005,7,Summer,20,150000000.0,475000000,3.1666666666666665,11.9715,7.0,15782,Adventure|Comedy|Family|Fantasy,Adventure,Tim Burton,Johnny Depp|Freddie Highmore|David Kelly
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,12,Winter,24,93000000.0,871368364,9.369552301075268,26.8631,8.426,26675,Adventure|Fantasy|Action,Adventure,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002-12-18,2002,12,Winter,23,79000000.0,926287400,11.725156962025316,21.8843,8.411,23155,Adventure|Fantasy|Action,Adventure,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003-12-17,2003,12,Winter,22,94000000.0,1118888979,11.903074244680852,19.8972,8.491,25725,Adventure|Fantasy|Action,Adventure,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen
129,Spirited Away,千と千尋の神隠し,2001-07-20,2001,7,Summer,24,19000000.0,274925095,14.469741842105263,20.2632,8.534,17703,Animation|Family|Fantasy,Animation,Hayao Miyazaki,Rumi Hiiragi|Miyu Irino|Mari Natsuki
137,Groundhog Day,Groundhog Day,1993-02-11,1993,2,Winter,32,14600000.0,71108778,4.8704642465753425,13.5785,7.619,8536,Romance|Fantasy|Drama|Comedy,Romance,Harold Ramis,Bill Murray|Andie MacDowell|Chris Elliott
155,The Dark Knight,The Dark Knight,2008-07-16,2008,7,Summer,17,185000000.0,1004558444,5.430045643243243,27.8381,8.5,34811,Drama|Action|Crime|Thriller,Drama,Christopher Nolan,Christian Bale|Heath Ledger|Aaron Eckhart
162,Edward Scissorhands,Edward Scissorhands,1990-12-07,1990,12,Winter,35,20000000.0,86024005,4.30120025,10.9161,7.72,13448,Fantasy|Drama|Romance,Fantasy,Tim Burton,Johnny Depp|Winona Ryder|Dianne Wiest
169,Predator 2,Predator 2,1990-11-21,1990,11,Fall,35,35000000.0,57120318,1.6320090857142857,11.5702,6.293,3616,Science Fiction|Action|Thriller,Science Fiction,Stephen Hopkins,Danny Glover|Gary Busey|Rubén Blades
180,Minority Report,Minority Report,2002-06-20,2002,6,Summer,23,102000000.0,358372926,3.5134600588235294,13.0367,7.35,9273,Science Fiction|Action|Thriller,Science Fiction,Steven Spielberg,Tom Cruise|Samantha Morton|Colin Farrell
194,Amélie,Le Fabuleux Destin d'Amélie Poulain,2001-04-25,2001,4,Spring,24,10000000.0,173921954,17.3921954,10.6884,7.914,12047,Comedy|Romance,Comedy,Jean-Pierre Jeunet,Audrey Tautou|Mathieu Kassovitz|Rufus
217,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,2008,5,Spring,17,185000000.0,786636033,4.252086664864865,13.0126,6.018,8749,Adventure|Action,Adventure,Steven Spielberg,Harrison Ford|Cate Blanchett|Karen Allen
242,The Godfather Part III,The Godfather Part III,1990-12-25,1990,12,Winter,35,54000000.0,136766062,2.532704851851852,13.2512,7.417,6612,Crime|Drama|Thriller,Crime,Francis Ford Coppola,Al Pacino|Diane Keaton|Talia Shire
272,Batman Begins,Batman Begins,2005-06-10,2005,6,Summer,20,150000000.0,374218673,2.4947911533333333,13.2672,7.719,22017,Drama|Crime|Action,Drama,Christopher Nolan,Christian Bale|Michael Caine|Liam Neeson
278,The Shawshank Redemption,The Shawshank Redemption,1994-09-23,1994,9,Fall,31,25000000.0,28341469,1.13365876,26.9801,8.713,29343,Drama|Crime,Drama,Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
280,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991-07-03,1991,7,Summer,34,102000000.0,520000000,5.098039215686274,12.7395,8.1,13742,Action|Thriller|Science Fiction,Action,James Cameron,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong
285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007-05-19,2007,5,Spring,18,300000000.0,961691209,3.2056373633333335,18.9407,7.3,15069,Adventure|Fantasy|Action,Adventure,Gore Verbinski,Johnny Depp|Geoffrey Rush|Orlando Bloom
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,2005,12,Winter,20,180000000.0,745013115,4.13896175,25.5362,7.1,11178,Adventure|Family|Fantasy,Adventure,Andrew Adamson,William Moseley|Anna Popplewell|Skandar Keynes
424,Schindler's List,Schindler's List,1993-12-15,1993,12,Winter,32,22000000.0,321365567,14.607525772727273,12.9401,8.566,16899,Drama|History|War,Drama,Steven Spielberg,Liam Neeson|Ben Kingsley|Ralph Fiennes
425,Ice Age,Ice Age,2002-03-14,2002,3,Spring,23,59000000.0,383257136,6.495883661016949,13.6744,7.367,13925,Animation|Comedy|Family|Adventure,Animation,Chris Wedge,Ray Romano|John Leguizamo|Denis Leary
489,Good Will Hunting,Good Will Hunting,1997-12-05,1997,12,Winter,28,10000000.0,225900000,22.59,11.4451,8.157,13310,Drama,Drama,Gus Van Sant,Matt Damon|Robin Williams|Ben Affleck
497,The Green Mile,The Green Mile,1999-12-10,1999,12,Winter,26,60000000.0,286801374,4.7800229,16.3871,8.503,18603,Fantasy|Drama|Crime,Fantasy,Frank Darabont,Tom Hanks|David Morse|Bonnie Hunt
508,Love Actually,Love Actually,2003-09-07,2003,9,Fall,22,40000000.0,250779876,6.2694969,21.0844,7.101,7142,Comedy|Romance|Drama,Comedy,Richard Curtis,Hugh Grant|Alan Rickman|Emma Thompson
533,Wallace & Gromit: The Curse of the Were-Rabbit,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-15,2005,9,Fall,20,30000000.0,192610372,6.420345733333333,9.3752,7.1,2974,Adventure|Animation|Comedy|Family,Adventure,Steve Box,Peter Sallis|Ralph Fiennes|Helena Bonham Carter
550,Fight Club,Fight Club,1999-10-15,1999,10,Fall,26,63000000.0,100853753,1.6008532222222223,18.0726,8.439,31081,Drama|Thriller,Drama,David Fincher,Edward Norton|Brad Pitt|Helena Bonham Carter
557,Spider-Man,Spider-Man,2002-05-01,2002,5,Spring,23,139000000.0,821708551,5.911572309352518,13.6397,7.318,20077,Action|Science Fiction,Action,Sam Raimi,Tobey Maguire|Willem Dafoe|Kirsten Dunst
559,Spider-Man 3,Spider-Man 3,2007-05-01,2007,5,Spring,18,258000000.0,894983373,3.4689278023255814,14.3196,6.448,14805,Action|Adventure|Science Fiction,Action,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco
564,The Mummy,The Mummy,1999-04-16,1999,4,Spring,26,80000000.0,415885488,5.1985686,17.4133,6.953,9616,Adventure|Action|Fantasy,Adventure,Stephen Sommers,Brendan Fraser|Rachel Weisz|John Hannah
